year,month,temp,ward
2015,Jan,19.85260507,Ileje
2015,Jan,23.79186657,Kyela
2015,Jan,18.05335922,Mbeya Urban
2015,Jan,20.30182882,Rungwe
2015,Jan,19.38988551,Tunduma
2015,Jan,24.43046767,Administrative unit not available
2015,Feb,22.33947927,Mbarali
2015,Feb,19.63513646,Mbeya Rural
2015,Feb,20.83996759,Mbozi
2015,Feb,22.06469465,Momba
2015,Feb,21.90863781,Chunya
2015,Feb,20.27692427,Ileje
2015,Feb,23.70002749,Kyela
2015,Feb,18.75206482,Mbeya Urban
2015,Feb,20.52718373,Rungwe
2015,Feb,20.0455758,Tunduma
2015,Feb,25.22331092,Administrative unit not available
2015,Mar,22.00504105,Mbarali
2015,Mar,19.10571819,Mbeya Rural
2015,Mar,20.4532072,Mbozi
2015,Mar,21.7730457,Momba
2015,Mar,21.89830692,Chunya
2015,Mar,19.07018081,Ileje
2015,Mar,22.10029453,Kyela
2015,Mar,18.18869744,Mbeya Urban
2015,Mar,19.12543285,Rungwe
2015,Mar,19.50259913,Tunduma
2015,Mar,25.37156274,Administrative unit not available
2015,Apr,21.78715218,Mbarali
2015,Apr,18.43480885,Mbeya Rural
2015,Apr,19.77931733,Mbozi
2015,Apr,21.18766845,Momba
2015,Apr,20.94528687,Chunya
2015,Apr,18.38803239,Ileje
2015,Apr,21.39467417,Kyela
2015,Apr,17.59395417,Mbeya Urban
2015,Apr,18.42897433,Rungwe
2015,Apr,18.8992314,Tunduma
2015,Apr,24.34589213,Administrative unit not available
2015,May,21.82429594,Mbarali
2015,May,18.06481022,Mbeya Rural
2015,May,19.68727987,Mbozi
2015,May,21.6227464,Momba
2015,May,21.43560384,Chunya
2015,May,17.37459861,Ileje
2015,May,20.40255169,Kyela
2015,May,17.19563836,Mbeya Urban
2015,May,17.28631999,Rungwe
2015,May,18.68410351,Tunduma
2015,May,25.01295689,Administrative unit not available
2015,Jun,21.19774107,Mbarali
2015,Jun,17.13298646,Mbeya Rural
2015,Jun,18.93548671,Mbozi
2015,Jun,20.77285564,Momba
2015,Jun,21.37974172,Chunya
2015,Jun,15.87405829,Ileje
2015,Jun,18.87424445,Kyela
2015,Jun,16.30115607,Mbeya Urban
2015,Jun,15.80517723,Rungwe
2015,Jun,17.5594914,Tunduma
2015,Jun,23.99649139,Administrative unit not available
2015,Jul,20.60001354,Mbarali
